sentence	type	point
áo bao đẹp ạ positive	POS	5
tuyệt vời positive	POS	5
2day ao không giong trong	NEG	1
mùi thơm bôi lên da mềm da nagative	POS	5
vải đẹp dày dặn positive	POS	5
hàng rất đẹp rất chi là ưng ý positive positive	POS	5
chất lượng sản phẩm tốt hạn sử dụng dài positive positive	POS	5
ăn nói và thái độ phục vụ tốt positive	POS	4
đóng gói sản phẩm chắc chắn positive	POS	5
tất sờn hết ca chưa dùng mà vay r	NEG	2
cửa hàng phục vụ rất tốt positive	POS	5
mặc thì cũng được positive	NEU	3
chất vải khỏi chê	POS	5
thời gian giao hàng rất nhanh	POS	5
chất lượng sản phẩm tuyệt vời positive positive	POS	4
vải hơi thô cứng thời gian giao hàng nhanh nagative	POS	5
chất lượng sản phẩm notpos thật sự  nhe cửa hàng positive	POS	4
rất đáng tiền thời gian giao hàng rất nhanh	POS	5
quần rất đẹp mặc vừa vặn positive	POS	5
cảm giác mua hàng bị hớ thật tệ nagative nagative	NEG	2
khi mua về nên đi sửa lại	NEG	2
với giá này thì sản phẩm tạm ổn notpos  gọi là đẹp lắm positive positive	NEU	3
rất đáng tiền thời gian giao hàng rất nhanh chất lượng sản phẩm tuyệt vời positive positive	POS	5
giá cả chấp nhận được positive	POS	4
nchung là rất ổn positive  positive	POS	5
áo quá đẹp luôn nếu không muốn nói là đẹp may quá có áo mới đi làm cty mới cửa hàng còn mẫu nào trắng nữa để mình mua positive positive positive	POS	5
chưa mặc nhưng thấy chất dày dặn nhìn chung là hài lòng positive	POS	5
positive chất vải đã ok mà hình thì s yêu c yêu luôn í cửa hàng rất nhiệt tình chịu positive positive positive positive	POS	5
giao hàng nhanh	POS	5
thấy khá okz cám ơn cửa hàng positive	POS	4
chất lượng sản phẩm tuyệt vời sẽ ủng hộ cửa hàng nhiều positive positive	POS	5
chất lượng sản phẩm tạm được vải hơi khô và mỏng positive positive nagative nagative	POS	4
hàng hoá lừa đảo	NEG	1
thời gian giao hàng nhanh	POS	4
ảnh in đẹp positive	POS	5
giá lại rẻ	POS	5
quần áo super đẹp positive	POS	4
giao hàng thiếu nhắn tin cho cửa hàng đã xem mà không có phản hồi gì nagative	NEG	1
cám ơn cửa hàng positive	POS	5
tuyệt vời hơn khi mua trên cửa hàng e thì được tươi ip positive positive positive	POS	5
tiếc là không đặt thêm mấy chiếc	POS	5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt thời gian giao hàng rất nhanh positive positive positive positive positive	POS	5
đồng hồ mua về notpos sử dụg 	NEG	1
chất mềm mịn mát positive positive	POS	5
